က/v|ခြင်း/part	ကခြင်း
စီးဆင်း/v|ခြင်း/part	စီးဆင်းခြင်း
စီးဆင်း/v|လည်ပတ်/v|မှု/part	စီးဆင်းလည်ပတ်မှု
စီးပွား/n|ကုန်သွယ်/v|ရေး/part	စီးပွားကုန်သွယ်ရေး
စီးပွား/n|ရေး/part	စီးပွားရေး
စီးပွား/n|ရေး/part|ကဏ္ဍ/n	စီးပွားရေးကဏ္ဍ
စီးပွား/n|ရေး/part|ကုမ္ပဏီ/n	စီးပွားရေးကုမ္ပဏီ
စီးပွား/n|ရေး/part|ကြော်ငြာ/n|လုပ်ငန်း/n	စီးပွားရေးကြော်ငြာလုပ်ငန်း
စီးပွား/n|ရေး/part|ချွတ်ခြုံကျ/v|မှု/part	စီးပွားရေးချွတ်ခြုံကျမှု
စီးပွား/n|ရေး/part|စင်တာ/n	စီးပွားရေးစင်တာ
စီးပွား/n|ရေး/part|စနစ်/n	စီးပွားရေးစနစ်
စီးပွား/n|ရေး/part|ဆိုင်ရာ/n	စီးပွားရေးဆိုင်ရာ
စီးပွား/n|ရေး/part|ဇုန်/n	စီးပွားရေးဇုန်
စီးပွား/n|ရေး/part|နယ်/n	စီးပွားရေးနယ်
စီးပွား/n|ရေး/part|နယ်ပယ်/n	စီးပွားရေးနယ်ပယ်
စီးပွား/n|ရေး/part|ပညာ/n	စီးပွားရေးပညာ
စီးပွား/n|ရေး/part|ပညာရှင်/n	စီးပွားရေးပညာရှင်
စီးပွား/n|ရေး/part|ပုံစံ/n	စီးပွားရေးပုံစံ
စီးပွား/n|ရေး/part|ဖွံ့ဖြိုး/adj|တိုးတက်/v|ရေး/part|အဖွဲ့/n	စီးပွားရေးဖွံ့ဖြိုးတိုးတက်ရေးအဖွဲ့
စီးပွား/n|ရေး/part|ဖွံ့ဖြိုး/adj|မှု/part	စီးပွားရေးဖွံ့ဖြိုးမှု
စီးပွား/n|ရေး/part|မြို့တော်/n	စီးပွားရေးမြို့တော်
စီးပွား/n|ရေး/part|ရပ်ကွက်/n	စီးပွားရေးရပ်ကွက်
စီးပွား/n|ရေး/part|လုပ်ငန်း/n	စီးပွားရေးလုပ်ငန်း
စီးပွား/n|ရေး/part|လောက/n	စီးပွားရေးလောက
စီးပွား/n|ရေး/part|လေ့လာ/v|မှု/part	စီးပွားရေးလေ့လာမှု
စီးပွား/n|ရေး/part|လေ့လာ/v|မှု/part|ပညာ/n	စီးပွားရေးလေ့လာမှုပညာ
စီးပွား/n|ရေး/part|ဝန်ကြီး/n	စီးပွားရေးဝန်ကြီး
စီးပွား/n|ရေး/part|သမိုင်း/n	စီးပွားရေးသမိုင်း
စီးပွား/n|ရေး/part|အခွင့်အရေး/n	စီးပွားရေးအခွင့်အရေး
စီးပွား/n|ရေး/part|အင်အား/n	စီးပွားရေးအင်အား
စီးဗစ်/n|ဘူတာ/n	စီးဗစ်ဘူတာ
စုစည်း/v|ခြင်း/part	စုစည်းခြင်း
စုစည်း/v|ပေါက်ရောက်/v|ပုံ/part	စုစည်းပေါက်ရောက်ပုံ
စုစည်း/v|မှု/part	စုစည်းမှု
စုစုပေါင်း/n|ငွေ/n	စုစုပေါင်းငွေ
စုဆောင်း/v|ခြင်း/part	စုဆောင်းခြင်း
စုဆောင်း/v|နေ/part|ခြင်း/part	စုဆောင်းနေခြင်း
စုဆောင်း/v|သိုလှောင်/v|ခြင်း/part	စုဆောင်းသိုလှောင်ခြင်း
စုတ်ယူ/v|ခြင်း/part	စုတ်ယူခြင်း
စုန်ဆင်း/v|ခြင်း/part	စုန်ဆင်းခြင်း
စုပေါင်း/v|ကြိုးပမ်း/v|မှု/part	စုပေါင်းကြိုးပမ်းမှု
စုပေါင်း/v|ဆောင်ရွက်/v|ခြင်း/part	စုပေါင်းဆောင်ရွက်ခြင်း
စုပေါင်း/v|ဆောင်ရွက်/v|နိုင်/part|မှု/part	စုပေါင်းဆောင်ရွက်နိုင်မှု
စုပေါင်း/v|ဆောင်ရွက်/v|မှု/part	စုပေါင်းဆောင်ရွက်မှု
စုပေါင်း/v|ပိုင်ဆိုင်/v|မှု/part	စုပေါင်းပိုင်ဆိုင်မှု
စုပေါင်း/v|ပြုစု/v|ထား/part|ခြင်း/part	စုပေါင်းပြုစုထားခြင်း
စုပေါင်း/v|ဖွဲ့စည်း/v|ထား/part|ခြင်း/part	စုပေါင်းဖွဲ့စည်းထားခြင်း
စုပေါင်း/v|လုပ်ကိုင်/v|မှု/part	စုပေါင်းလုပ်ကိုင်မှု
စုပေါင်း/v|လုပ်ဆောင်/v|မှု/part	စုပေါင်းလုပ်ဆောင်မှု
စုဖွဲ့/n|ကလောင်/n|အမည်/n	စုဖွဲ့ကလောင်အမည်
စုရင်းစု/n|နည်းလမ်း/n	စုရင်းစုနည်းလမ်း
စုရုံး/v|မှု/part	စုရုံးမှု
စုဝေး/v|ခွင့်/n	စုဝေးခွင့်
စုဝေး/v|ရာ/part	စုဝေးရာ
စုံစမ်း/v|စစ်ဆေး/v|ဝေဖန်/v|ခြင်း/part	စုံစမ်းစစ်ဆေးဝေဖန်ခြင်း
စုံစမ်း/v|နှောင့်ရှက်/v|ခြင်း/part	စုံစမ်းနှောင့်ရှက်ခြင်း
စုံထောက်/n|စာရေးဆရာ/n	စုံထောက်စာရေးဆရာ
စုံထောက်/n|ဝတ္ထု/n	စုံထောက်ဝတ္ထု
စုံထောက်မောင်စံရှား/n|ဝတ္ထု/n	စုံထောက်မောင်စံရှားဝတ္ထု
စူမတြန်/n|မင်းသား/n	စူမတြန်မင်းသား
စူရှိတိုတို/n|မြို့/n	စူရှိတိုတိုမြို့
စူရှီတိုတို/n|မြို့/n	စူရှီတိုတိုမြို့
စူးစမ်း/v|ခြင်း/part	စူးစမ်းခြင်း
စူးစမ်း/v|မှု/part	စူးစမ်းမှု
စူးစမ်း/v|လေ့လာ/v|ခြင်း/part	စူးစမ်းလေ့လာခြင်း
စူးစမ်း/v|လေ့လာ/v|မှု/part	စူးစမ်းလေ့လာမှု
စူးစမ်း/v|လေ့လာ/v|ရေး/part	စူးစမ်းလေ့လာရေး
စေခိုင်း/v|ခြင်း/part	စေခိုင်းခြင်း
စေခိုင်း/v|မှု/part	စေခိုင်းမှု
စေတီတော်/n|ကြီး/part	စေတီတော်ကြီး
စောင်မ/v|ကြည့်ရှု/v|မှု/part	စောင်မကြည့်ရှုမှု
စောင့်/v|ထိမ်း/v|သူ/n	စောင့်ထိမ်းသူ
စောင့်ရှောက်/v|ခြင်း/part	စောင့်ရှောက်ခြင်း
စောင့်ရှောက်/v|ပေး/part|ခြင်း/part	စောင့်ရှောက်ပေးခြင်း
စောရနက္ခ/n|မင်း/n	စောရနက္ခမင်း
စောလူး/n|မင်း/n	စောလူးမင်း
စောလှဝန်း/n|ဘုရား/n	စောလှဝန်းဘုရား
စော်ဘွား/n|စနစ်/n	စော်ဘွားစနစ်
စေ့စပ်/v|ဆွေးနွေး/v|ခြင်း/part	စေ့စပ်ဆွေးနွေးခြင်း
စေ့စပ်/v|ဆွေးနွေး/v|မှု/part	စေ့စပ်ဆွေးနွေးမှု
စေ့စပ်/v|ဆွေးနွေး/v|ရေး/part	စေ့စပ်ဆွေးနွေးရေး
စေ့စပ်/v|ဖျန်ဖြေ/v|ရေး/part	စေ့စပ်ဖျန်ဖြေရေး
စေ့စပ်/v|ရေး/part	စေ့စပ်ရေး
စေ့ဆော်/v|မှု/part	စေ့ဆော်မှု
စဲန်/n|မြစ်/n	စဲန်မြစ်
စံ/n|စနစ်/n	စံစနစ်
စံ/n|လုပ်ထုံး/n	စံလုပ်ထုံး
စံ/n|သတ်မှတ်/v|ချက်/part	စံသတ်မှတ်ချက်
စံတင်ထား/v|မှု/part	စံတင်ထားမှု
စံပြ/n|ကွက်သစ်/n	စံပြကွက်သစ်
စံပြ/n|ဝါဒ/n	စံပြဝါဒ
စံပြ/n|ဥယျာဉ်/n	စံပြဥယျာဉ်
စွန်/n|လက်သည်း/n	စွန်လက်သည်း
စွန့်စား/v|ရှာဖွေ/v|သူ/n	စွန့်စားရှာဖွေသူ
စွန့်စားခန်း/n|ဝတ္ထု/n	စွန့်စားခန်းဝတ္ထု
စွန့်လွှတ်/v|ခြင်း/part	စွန့်လွှတ်ခြင်း
စွပ်စွဲ/v|ချက်/part	စွပ်စွဲချက်
စွပ်စွဲ/v|ပုတ်ခတ်/v|မှု/part	စွပ်စွဲပုတ်ခတ်မှု
စွမ်းဆောင်/v|နိုင်/part|မှု/part	စွမ်းဆောင်နိုင်မှု
စွမ်းဆောင်/v|မှု/part	စွမ်းဆောင်မှု
စွမ်းရည်/n|သတ္တိ/n	စွမ်းရည်သတ္တိ
စွမ်းအင်/n|ခြားနား/v|ခြင်း/part	စွမ်းအင်ခြားနားခြင်း
စွမ်းအင်/n|ရ/v|မှု/part	စွမ်းအင်ရမှု
စွယ်စုံ/n|ဗဟုသုတ/n	စွယ်စုံဗဟုသုတ
စွယ်စုံကျမ်း/n|ကြီး/part	စွယ်စုံကျမ်းကြီး
စွယ်စုံကျမ်း/n|ပြုစု/v|ရေး/part	စွယ်စုံကျမ်းပြုစုရေး
စွယ်စုံကျော်ထင်/n|ကျမ်း/n	စွယ်စုံကျော်ထင်ကျမ်း
စွယ်စုံကျော်ထင်ပုစ္ဆာ/n|ကျမ်း/n	စွယ်စုံကျော်ထင်ပုစ္ဆာကျမ်း
စွဲ/v|သူ/n	စွဲသူ
စွဲကိုင်/v|ခြင်း/part	စွဲကိုင်ခြင်း
စွဲခေါ်/v|ခြင်း/part	စွဲခေါ်ခြင်း
စွဲမက်/v|ဖွယ်/part|ရာ/part	စွဲမက်ဖွယ်ရာ
ဆ/n|ခွဲ/n	ဆခွဲ
ဆက်/v|ခြင်း/part	ဆက်ခြင်း
ဆက်ခံ/v|ခြင်း/part	ဆက်ခံခြင်း
ဆက်ခံ/v|မှု/part	ဆက်ခံမှု
ဆက်ခံ/v|သူ/n	ဆက်ခံသူ
ဆက်စပ်/v|ဆောင်ရွက်/v|ပုံ/part	ဆက်စပ်ဆောင်ရွက်ပုံ
ဆက်စပ်/v|တွေးခေါ်/v|မှု/part	ဆက်စပ်တွေးခေါ်မှု
ဆက်စပ်/v|နေ/part|ကြောင်း/part	ဆက်စပ်နေကြောင်း
ဆက်စပ်/v|ပတ်သက်/v|နေ/part|မှု/part	ဆက်စပ်ပတ်သက်နေမှု
ဆက်စပ်/v|မှု/part	ဆက်စပ်မှု
ဆက်စပ်/v|အကျိုးပြု/v|ပုံ/part	ဆက်စပ်အကျိုးပြုပုံ
ဆက်ဆံ/v|မှု/part	ဆက်ဆံမှု
ဆက်ဆံ/v|ရေး/part	ဆက်ဆံရေး
ဆက်ဆံ/v|သူ/n	ဆက်ဆံသူ
ဆက်နွယ်/v|မှု/part	ဆက်နွယ်မှု
ဆက်သွယ်/v|ကြ/part|ပုံ/part	ဆက်သွယ်ကြပုံ
ဆက်သွယ်/v|ခွင့်/n	ဆက်သွယ်ခွင့်
ဆက်သွယ်/v|ပုံ/part	ဆက်သွယ်ပုံ
ဆက်သွယ်/v|မှု/part	ဆက်သွယ်မှု
ဆက်သွယ်/v|ရေး/part	ဆက်သွယ်ရေး
ဆက်သွယ်/v|ရေး/part|တပ်/n	ဆက်သွယ်ရေးတပ်
ဆက်သွယ်/v|ရေး/part|လမ်းကြောင်း/n	ဆက်သွယ်ရေးလမ်းကြောင်း
ဆက်သွယ်/v|သွားရောက်/v|ခွင့်/n	ဆက်သွယ်သွားရောက်ခွင့်
ဆက်သွယ်/v|သွားလာ/v|ရေး/part	ဆက်သွယ်သွားလာရေး
ဆင်ခြင်/v|ခြင်း/part	ဆင်ခြင်ခြင်း
ဆင်ခြင်/v|ဖွယ်/part|ရာ/part	ဆင်ခြင်ဖွယ်ရာ
ဆင်ခြင်/v|မှု/part	ဆင်ခြင်မှု
ဆင်ခြေဖုံး/n|ရပ်ကွက်/n	ဆင်ခြေဖုံးရပ်ကွက်
ဆင်စွယ်/n|ကိရိယာ/n	ဆင်စွယ်ကိရိယာ
ဆင်စွယ်/n|ပန်းပု/n|လုပ်ငန်း/n	ဆင်စွယ်ပန်းပုလုပ်ငန်း
ဆင်ဆာ/n|အဖွဲ့/n	ဆင်ဆာအဖွဲ့
ဆင်နွှဲ/v|မှု/part	ဆင်နွှဲမှု
ဆင်ဖြူရှင်/n|ဗညားဦး/n	ဆင်ဖြူရှင်ဗညားဦး
ဆင်ဖြူရှင်/n|မင်းတရား/n	ဆင်ဖြူရှင်မင်းတရား
ဆင်းတု/n|တော်/part	ဆင်းတုတော်
ဆင်းရဲ/v|ခြင်း/part	ဆင်းရဲခြင်း
ဆင်းရဲ/v|နွမ်းပါး/v|သူ/n	ဆင်းရဲနွမ်းပါးသူ
ဆင်းရဲ/v|မှု/part	ဆင်းရဲမှု
ဆင်းရဲ/v|သူ/n	ဆင်းရဲသူ
ဆင်းရဲနွမ်းပါး/v|မှု/part	ဆင်းရဲနွမ်းပါးမှု
ဆင်းရဲသား/n|ပါတီ/n	ဆင်းရဲသားပါတီ
ဆင်းသက်/v|ကြောင်း/part	ဆင်းသက်ကြောင်း
ဆင်းသက်/v|ခဲ့/part|ခြင်း/part	ဆင်းသက်ခဲ့ခြင်း
ဆင်းသက်/v|ခြင်း/part	ဆင်းသက်ခြင်း
ဆင်းသက်/v|ပုံ/part	ဆင်းသက်ပုံ
ဆင်းသက်/v|လာ/part|ခြင်း/part	ဆင်းသက်လာခြင်း
ဆင်းသက်/v|လာ/part|သူ/n	ဆင်းသက်လာသူ
ဆစ်/n|လူမျိုး/n	ဆစ်လူမျိုး
ဆစ်ကင်း/n|ပြည်နယ်/n	ဆစ်ကင်းပြည်နယ်
ဆစ်ကြား/n|ရင်း/n	ဆစ်ကြားရင်း
ဆစ်ခ်/n|ဘာသာ/n	ဆစ်ခ်ဘာသာ
ဆည်ရေ/n|သောက်/v	ဆည်ရေသောက်
ဆည်းပူး/v|ခဲ့/part|သူ/n	ဆည်းပူးခဲ့သူ
ဆဋ္ဌဂံ/n|ပုံသဏ္ဌန်/n	ဆဋ္ဌဂံပုံသဏ္ဌန်
ဆတ္တလက်/n|မြစ်/n|ကြီး/part	ဆတ္တလက်မြစ်ကြီး
ဆန္ဒ/n|ကြီး/part	ဆန္ဒကြီး
ဆန္ဒပြ/v|မှု/part	ဆန္ဒပြမှု
ဆန္ဒပြ/v|သူ/n	ဆန္ဒပြသူ
ဆန်/n|ကုန်သည်/n	ဆန်ကုန်သည်
ဆန်/n|ကြာဆံ/n	ဆန်ကြာဆံ
ဆန်/n|စက်/n	ဆန်စက်
ဆန်/n|အရက်/n	ဆန်အရက်
ဆန်/n|အိုး/n|ကြီး/part	ဆန်အိုးကြီး
ဆန်ချီ/n|အရပ်/n	ဆန်ချီအရပ်
ဆန်စပါး/n|သုတေသန/n|ဌာန/n	ဆန်စပါးသုတေသနဌာန
ဆန်ဆယ်လဗာဒေါ/n|မြို့/n	ဆန်ဆယ်လဗာဒေါမြို့
ဆန်ဆာဗေဒို/n|မြို့တော်/n	ဆန်ဆာဗေဒိုမြို့တော်
ဆန်ဆေဗာဒို/n|မြို့/n	ဆန်ဆေဗာဒိုမြို့
ဆန်ဆေဗာဒို/n|မြို့တော်/n	ဆန်ဆေဗာဒိုမြို့တော်
ဆန်မာနာရီ/n|ကျောင်း/n	ဆန်မာနာရီကျောင်း
ဆန်မျူးကျွန်း/n|ဟိုတယ်/n	ဆန်မျူးကျွန်းဟိုတယ်
ဆန့်ကျင်/v|ဆန္ဒပြ/v|မှု/part	ဆန့်ကျင်ဆန္ဒပြမှု
ဆန့်ကျင်/v|နေ/part|သူ/n	ဆန့်ကျင်နေသူ
ဆန့်ကျင်/v|မှု/part	ဆန့်ကျင်မှု
ဆန့်ကျင်/v|ရေး/part	ဆန့်ကျင်ရေး
ဆန့်ကျင်/v|သပိတ်/n	ဆန့်ကျင်သပိတ်
ဆန့်ကျင်/v|သူ/n	ဆန့်ကျင်သူ
ဆန်းစစ်/v|ခဲ့/part|ကြောင်း/part	ဆန်းစစ်ခဲ့ကြောင်း
ဆန်းစစ်/v|ခြင်း/part	ဆန်းစစ်ခြင်း
ဆပ်ကပ်/n|ပြပွဲ/n	ဆပ်ကပ်ပြပွဲ
ဆဗားနား/n|မြက်ခင်းပြင်/n	ဆဗားနားမြက်ခင်းပြင်
ဆဗေရင်/n|ဒေသ/n	ဆဗေရင်ဒေသ
ဆမ်းဗား/n|မြစ်/n	ဆမ်းဗားမြစ်
ဆယ်လဗာဒေါ/n|နိုင်ငံ/n	ဆယ်လဗာဒေါနိုင်ငံ
ဆယ်ဝါ/n|အပြည်ပြည်/n|ဆိုင်ရာ/n	ဆယ်ဝါအပြည်ပြည်ဆိုင်ရာ
ဆယ့်နှစ်ရာသီ/n|ပွဲတော်/n	ဆယ့်နှစ်ရာသီပွဲတော်
ဆယ့်နှစ်ရာသီ/n|ဘွဲ့/n	ဆယ့်နှစ်ရာသီဘွဲ့
ဆယ့်နှစ်လရာသီ/n|ဘွဲ့/n	ဆယ့်နှစ်လရာသီဘွဲ့
ဆရာ/n|ကတော်လောင်း/n|ဒေါ်စိန်တင့်/n	ဆရာကတော်လောင်းဒေါ်စိန်တင့်
ဆရာ/n|ဒဂုန်တာရာ/n	ဆရာဒဂုန်တာရာ
ဆရာ/n|ပီမိုးနင်း/n	ဆရာပီမိုးနင်း
ဆရာ/n|ဖြစ်/v|သင်/v|ကျောင်း/n	ဆရာဖြစ်သင်ကျောင်း
ဆရာ/n|ဖြစ်/v|သင်တန်း/n	ဆရာဖြစ်သင်တန်း
ဆရာ/n|သော်တာဆွေ/n	ဆရာသော်တာဆွေ
ဆရာ/n|အတတ်သင်/v|သိပ္ပံ/n|ကျောင်း/n	ဆရာအတတ်သင်သိပ္ပံကျောင်း
ဆရာ/n|ဦးမရမ်ရိုဘင်/n	ဆရာဦးမရမ်ရိုဘင်
ဆရာကြီး/n|ဒေါက်တာ/n|သန်းထွန်း/n	ဆရာကြီးဒေါက်တာသန်းထွန်း
ဆရာကြီး/n|ပီမိုးနင်း/n	ဆရာကြီးပီမိုးနင်း
ဆရာကြီး/n|ရွှေဥဒေါင်း/n	ဆရာကြီးရွှေဥဒေါင်း
ဆရာကြီး/n|သခင်/n|ကိုယ်တော်မှိုင်း/n	ဆရာကြီးသခင်ကိုယ်တော်မှိုင်း
ဆရာကြီး/n|ဦးကြီးစိန်/n	ဆရာကြီးဦးကြီးစိန်
ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ဆရာတော်/n|ဘုရား/n|ကြီး/part	ဆရာတော်ဘုရားကြီး
ဆရာတော်/n|ဦးဥတ္တမ/n	ဆရာတော်ဦးဥတ္တမ
ဆရာမ/n|မခင်ကြည်/n	ဆရာမမခင်ကြည်
ဆလုံး/n|တိုင်းရင်းသား/n	ဆလုံးတိုင်းရင်းသား
ဆာ/n|ဘွဲ့/n	ဆာဘွဲ့
ဆာဒင်းနီးယား/n|ကျွန်း/n	ဆာဒင်းနီးယားကျွန်း
ဆာပင်တီး/n|မျိုးစဉ်/n|ခွဲ/n	ဆာပင်တီးမျိုးစဉ်ခွဲ
ဆာဗားနား/n|မြက်ခင်း/n	ဆာဗားနားမြက်ခင်း
ဆာမိုအာဆော်လမွန်/n|ကျွန်းစု/n	ဆာမိုအာဆော်လမွန်ကျွန်းစု
ဆာရာဝက်/n|ပြည်နယ်/n	ဆာရာဝက်ပြည်နယ်
ဆာလဖျူရစ်/n|အက်ဆစ်/n	ဆာလဖျူရစ်အက်ဆစ်
ဆာဟင်နရီယူး/n|မစ်ရှင်/n|အဖွဲ့/n	ဆာဟင်နရီယူးမစ်ရှင်အဖွဲ့
ဆာဟာရ/n|သဲကန္တာရ/n	ဆာဟာရသဲကန္တာရ
ဆိတ်သုဉ်း/v|ခြင်း/part	ဆိတ်သုဉ်းခြင်း
ဆိပ်ကမ်း/n|မြို့/n	ဆိပ်ကမ်းမြို့
ဆိပ်ကြီး/n|အရပ်/n	ဆိပ်ကြီးအရပ်
ဆိပ်ကြီးခေါ်/n|ဒေသ/n	ဆိပ်ကြီးခေါ်ဒေသ
ဆိပ်ခံ/n|မြို့/n	ဆိပ်ခံမြို့
ဆို/v|သူ/n	ဆိုသူ
ဆိုင်ကလုန်း/n|နာဂစ်/n	ဆိုင်ကလုန်းနာဂစ်
ဆိုင်ကလုန်း/n|နာဂစ်/n|ဒဏ်/n	ဆိုင်ကလုန်းနာဂစ်ဒဏ်
ဆိုင်ကလုန်း/n|မုန်တိုင်း/n	ဆိုင်ကလုန်းမုန်တိုင်း
ဆိုင်ကလုံး/n|ဒုက္ခသည်/n	ဆိုင်ကလုံးဒုက္ခသည်
ဆိုင်ကလုံး/n|နာဂစ်/n	ဆိုင်ကလုံးနာဂစ်
ဆိုင်ဂလုံး/n|ဆီဒါ/n	ဆိုင်ဂလုံးဆီဒါ
ဆိုင်ယမ်း/n|ပြည်/n	ဆိုင်ယမ်းပြည်
ဆိုင်းနိုင်း/n|ကျွန်းဆွယ်/n	ဆိုင်းနိုင်းကျွန်းဆွယ်
ဆိုဗီယက်/n|ဆိုရှယ်လစ်/n|ပြည်ထောင်စု/n|သမ္မတနိုင်ငံ/n	ဆိုဗီယက်ဆိုရှယ်လစ်ပြည်ထောင်စုသမ္မတနိုင်ငံ
ဆိုဗီယက်/n|ပြည်ထောင်စု/n	ဆိုဗီယက်ပြည်ထောင်စု
ဆိုဗီယက်/n|ယူနီယံ/n	ဆိုဗီယက်ယူနီယံ
ဆိုဗီယက်/n|အစိုးရ/n	ဆိုဗီယက်အစိုးရ
ဆိုဗီယက်ရုရှ/n|နိုင်ငံ/n	ဆိုဗီယက်ရုရှနိုင်ငံ
ဆိုရှယ်လစ်/n|ခေါင်းဆောင်/n	ဆိုရှယ်လစ်ခေါင်းဆောင်
ဆိုရှယ်လစ်/n|စနစ်/n	ဆိုရှယ်လစ်စနစ်
ဆိုရှယ်လစ်/n|စံနစ်/n	ဆိုရှယ်လစ်စံနစ်
ဆိုရှယ်လစ်/n|ဒီမိုကရေစီ/n|သမ္မတနိုင်ငံ/n	ဆိုရှယ်လစ်ဒီမိုကရေစီသမ္မတနိုင်ငံ
ဆိုရှယ်လစ်/n|ပါတီ/n	ဆိုရှယ်လစ်ပါတီ
ဆိုရှယ်လစ်/n|ဝါဒ/n	ဆိုရှယ်လစ်ဝါဒ
ဆိုရှယ်လစ်/n|သီအိုရီ/n|အယူအဆ/n	ဆိုရှယ်လစ်သီအိုရီအယူအဆ
ဆိုရှယ်လစ်/n|ဦးကျော်ငြိမ်း/n	ဆိုရှယ်လစ်ဦးကျော်ငြိမ်း
ဆိုလို/v|ကြောင်း/part	ဆိုလိုကြောင်း
ဆိုလို/v|ခြင်း/part	ဆိုလိုခြင်း
ဆိုး/adj|ခြင်း/part	ဆိုးခြင်း
ဆိုးဝါး/adj|ကြောင်း/part	ဆိုးဝါးကြောင်း
ဆီဆိုင်/n|မြို့/n	ဆီဆိုင်မြို့
ဆီမီး/n|ပူဇော်/v|ခြင်း/part	ဆီမီးပူဇော်ခြင်း
ဆီမီး/n|မြင့်မိုရ်/n	ဆီမီးမြင့်မိုရ်
ဆီလီကွန်/n|တောင်ကြား/n	ဆီလီကွန်တောင်ကြား
ဆီသီယန်/n|လူမျိုး/n	ဆီသီယန်လူမျိုး
ဆီးနိတ်/n|အဖွဲ့/n	ဆီးနိတ်အဖွဲ့
ဆီးနှင်း/n|ရေခဲ/n	ဆီးနှင်းရေခဲ
ဆီးပူ/v|ခြင်း/part	ဆီးပူခြင်း
ဆု/n|ငွေ/n	ဆုငွေ
ဆုတောင်းပြည့်/n|ဘုရား/n	ဆုတောင်းပြည့်ဘုရား
ဆုတ်ဆိုင်း/v|မှု/part	ဆုတ်ဆိုင်းမှု
ဆုတ်ယုတ်/v|မှု/part	ဆုတ်ယုတ်မှု
ဆုပ်/v|နိုင်/part|ကိုင်/v|နိုင်/part|ခြင်း/part	ဆုပ်နိုင်ကိုင်နိုင်ခြင်း
ဆုပ်ကိုင်/v|ရာ/part	ဆုပ်ကိုင်ရာ
ဆုံ/v|ရာ/part	ဆုံရာ
ဆုံးဖြတ်/v|ခဲ့/part|ခြင်း/part	ဆုံးဖြတ်ခဲ့ခြင်း
ဆုံးဖြတ်/v|ချက်/part	ဆုံးဖြတ်ချက်
ဆုံးဖြတ်/v|ခြင်း/part	ဆုံးဖြတ်ခြင်း
ဆုံးဖြတ်/v|မှု/part	ဆုံးဖြတ်မှု
ဆုံးမ/v|သတိပေး/v|ချက်/part	ဆုံးမသတိပေးချက်
ဆုံးမ/v|သွန်သင်/v|ခြင်း/part	ဆုံးမသွန်သင်ခြင်း
ဆုံးရှုံး/v|နိုင်/part|သေး/part|ကြောင်း/part	ဆုံးရှုံးနိုင်သေးကြောင်း
ဆုံးရှုံး/v|မှု/part	ဆုံးရှုံးမှု
ဆုံးရှုံး/v|ရ/part|ခြင်း/part	ဆုံးရှုံးရခြင်း
ဆူခိုထိုင်း/n|ပြည်/n	ဆူခိုထိုင်းပြည်
ဆူခိုထိုင်း/n|ဗုဒ္ဓ/n|ဘာသာ/n	ဆူခိုထိုင်းဗုဒ္ဓဘာသာ
ဆူခိုထိုင်း/n|ဗုဒ္ဓ/n|ဘာသာ/n|ပြည်/n	ဆူခိုထိုင်းဗုဒ္ဓဘာသာပြည်
ဆူဇူကီး/n|မိသားစု/n	ဆူဇူကီးမိသားစု
ဆူပီရီးယား/n|ရေအိုင်/n	ဆူပီရီးယားရေအိုင်
ဆူပူ/v|တောင်းဆို/v|မှု/part	ဆူပူတောင်းဆိုမှု
ဆူပူ/v|မှု/part	ဆူပူမှု
ဆူပူ/v|သောင်းကျန်း/v|မှု/part	ဆူပူသောင်းကျန်းမှု
ဆူပူအုံကြွ/v|မှု/part	ဆူပူအုံကြွမှု
ဆူဖီရစ်ဝဲ/n|ခြင်း/part	ဆူဖီရစ်ဝဲခြင်း
ဆူမတြား/n|ကျွန်း/n	ဆူမတြားကျွန်း
ဆူးပီးရီးယား/n|အိုင်/n	ဆူးပီးရီးယားအိုင်
ဆောက်တည်/v|ပုံ/part	ဆောက်တည်ပုံ
ဆောက်ဒေါင်း/n|သိုး/n	ဆောက်ဒေါင်းသိုး
ဆောက်ရွက်/v|ရ/part|ခြင်း/part	ဆောက်ရွက်ရခြင်း
ဆောက်လုပ်/v|ခြင်း/part	ဆောက်လုပ်ခြင်း
ဆောက်လုပ်/v|ထား/part|ခြင်း/part	ဆောက်လုပ်ထားခြင်း
ဆောက်လုပ်/v|ပေး/part|ထား/part|ခြင်း/part	ဆောက်လုပ်ပေးထားခြင်း
ဆောက်လုပ်/v|မှု/part	ဆောက်လုပ်မှု
ဆောက်လုပ်/v|ရေး/part	ဆောက်လုပ်ရေး
ဆောင်/v|ထား/part|ခြင်း/part	ဆောင်ထားခြင်း
ဆောင်ကြဉ်း/v|ပေး/part|ခဲ့/part|သူ/n	ဆောင်ကြဉ်းပေးခဲ့သူ
ဆောင်ရွက်/v|ခဲ့/part|ခြင်း/part	ဆောင်ရွက်ခဲ့ခြင်း
ဆောင်ရွက်/v|ချက်/part	ဆောင်ရွက်ချက်
ဆောင်ရွက်/v|ခြင်း/part	ဆောင်ရွက်ခြင်း
ဆောင်ရွက်/v|မှု/part	ဆောင်ရွက်မှု
ဆောင်း/n|ရာသီ/n	ဆောင်းရာသီ
ဆောင်း/n|ဥတု/n	ဆောင်းဥတု
ဆောင်းခို/v|ခြင်း/part	ဆောင်းခိုခြင်း
ဆော့ဖ်ဝဲ/n|ကုမ္ပဏီ/n	ဆော့ဖ်ဝဲကုမ္ပဏီ
