ဆရာကြီး/n|ဦးစိန်/n	ဆရာကြီးဦးစိန်
ဂျပန်/n|လူမျိုး/n	ဂျပန်လူမျိုး
သခင်/n|အောင်ဆန်း/n	သခင်အောင်ဆန်း
ရိုင်းစိုင်း/adj|ကြမ်းကြုတ်/adj|မှု/part	ရိုင်းစိုင်းကြမ်းကြုတ်မှု
သူ့/pron|အမြင်/n	သူ့အမြင်
အံ့ဩ/v|ထိတ်လန့်/v|ဖွယ်/part|ရာ/part	အံ့ဩထိတ်လန့်ဖွယ်ရာ
ရှမ်း/n|ကုန်းပြင်မြင့်/n	ရှမ်းကုန်းပြင်မြင့်
အနောက်/n|ဘက်/n	အနောက်ဘက်
မြေနိမ့်/n|လွင်ပြင်/n	မြေနိမ့်လွင်ပြင်
ကွဲထွက်/v|ခြင်း/part	ကွဲထွက်ခြင်း
ထုတ်လုပ်/v|ခြင်း/part	ထုတ်လုပ်ခြင်း
ဘူမိဗေဒ/n|ပညာရှင်/n	ဘူမိဗေဒပညာရှင်
ဝမ်း/n|တွင်း/n	ဝမ်းတွင်း
ကမ္ဘာ့/n|စားနပ်ရိက္ခာ/n|အဖွဲ့/n	ကမ္ဘာ့စားနပ်ရိက္ခာအဖွဲ့
လုပ်ကိုင်/v|ရေး/part	လုပ်ကိုင်ရေး
ဆယ့်နှစ်ရာသီ/n|ဘွဲ့/n	ဆယ့်နှစ်ရာသီဘွဲ့
ဝါဆို/n|လ/n|ဘွဲ့/n	ဝါဆိုလဘွဲ့
ပင်လယ်စာ/n|စားသောက်ဆိုင်/n	ပင်လယ်စာစားသောက်ဆိုင်
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
အစိုးရ/n|အဖွဲ့/n	အစိုးရအဖွဲ့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အမှုဆောင်/n|ကောင်စီ/n|အဖွဲ့/n	အမှုဆောင်ကောင်စီအဖွဲ့
ဖျက်ဆီး/v|ခြင်း/part	ဖျက်ဆီးခြင်း
ထိခိုက်/v|မှု/part	ထိခိုက်မှု
ဗြိတိသျှ/n|ခေတ်/n	ဗြိတိသျှခေတ်
တရား/n|ရေး/part|စနစ်/n	တရားရေးစနစ်
အများ/n|ပြည်သူ/n	အများပြည်သူ
တရား/n|စီရင်/v|ခွင့်/n	တရားစီရင်ခွင့်
အာမခံ/n|ချက်/part	အာမခံချက်
အင်္ဂါ/n|ဂြိုဟ်/n	အင်္ဂါဂြိုဟ်
လူမှု/n|ရေး/part|လုပ်ငန်း/n	လူမှုရေးလုပ်ငန်း
မြန်မာ/n|စစ်/n|အစိုးရ/n	မြန်မာစစ်အစိုးရ
ပြောဆို/v|ဝေဖန်/v|မှု/part	ပြောဆိုဝေဖန်မှု
ဖြစ်/v|စရာ/part	ဖြစ်စရာ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အလယ်/n|ပိုင်း/part	အလယ်ပိုင်း
စက်တင်ဘာ/n|လ/n	စက်တင်ဘာလ
အာကာသ/n|လေ့လာ/v|စူးစမ်း/v|ရေး/part	အာကာသလေ့လာစူးစမ်းရေး
သရဝဏ်/n|နက္ခတ်/n	သရဝဏ်နက္ခတ်
မျက်မြင်/n|လောက/n	မျက်မြင်လောက
ပရမတ္တ/n|ပညာ/n	ပရမတ္တပညာ
ဆင်ခြင်/v|မှု/part	ဆင်ခြင်မှု
အခြေခံ/n|သဘော/n	အခြေခံသဘော
အသိမှန်/n|သဘော/n	အသိမှန်သဘော
ဆယ်လဗာဒေါ/n|နိုင်ငံ/n	ဆယ်လဗာဒေါနိုင်ငံ
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
တည်ဆောက်/v|ခြင်း/part	တည်ဆောက်ခြင်း
ယူနန်/n|ပြည်နယ်/n	ယူနန်ပြည်နယ်
တရုတ်/n|ကုန်စည်/n	တရုတ်ကုန်စည်
အလယ်/n|ပိုင်း/part	အလယ်ပိုင်း
တွက်ချက်/v|ခြင်း/part	တွက်ချက်ခြင်း
နွေ/n|ရာသီ/n	နွေရာသီ
ကွန်ပျူတာ/n|သင်တန်း/n	ကွန်ပျူတာသင်တန်း
နိုင်ငံတော်/n|ဝန်ကြီးချုပ်/n	နိုင်ငံတော်ဝန်ကြီးချုပ်
တက္ကသိုလ်/n|အဓိပတိ/n	တက္ကသိုလ်အဓိပတိ
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
ဆန့်ကျင်/v|မှု/part	ဆန့်ကျင်မှု
ကန့်ကွက်/v|ဆန္ဒပြ/v|မှု/part	ကန့်ကွက်ဆန္ဒပြမှု
ပြောင်းလဲ/v|ခြင်း/part	ပြောင်းလဲခြင်း
ပြောင်းလဲ/v|ခြင်း/part	ပြောင်းလဲခြင်း
ဗြိတိသျှ/n|အစိုးရ/n	ဗြိတိသျှအစိုးရ
ပြောင်းလဲ/v|ခြင်း/part	ပြောင်းလဲခြင်း
လွတ်လပ်/v|ရေး/part|တိုက်ပွဲ/n	လွတ်လပ်ရေးတိုက်ပွဲ
နိုင်ငံ/n|ရေး/part|အခန်း/n|ကဏ္ဍ/n	နိုင်ငံရေးအခန်းကဏ္ဍ
ဖွင့်/v|လိုက်/part|ခြင်း/part	ဖွင့်လိုက်ခြင်း
တောင်ကြီး/n|မြို့/n	တောင်ကြီးမြို့
အရှေ့/n|ဘက်/n	အရှေ့ဘက်
တောင်ကြီး/n|မြို့/n	တောင်ကြီးမြို့
ပိုး/n|ကရင်/n	ပိုးကရင်
စကော/n|ကရင်/n	စကောကရင်
ဗြိတိသျှ/n|နယ်ချဲ့/n|စနစ်/n	ဗြိတိသျှနယ်ချဲ့စနစ်
လှုပ်ရှား/v|မှု/part	လှုပ်ရှားမှု
ကမ္ဘာ့/n|အခြေအနေ/n	ကမ္ဘာ့အခြေအနေ
ဗမာ့/n|အခြေအနေ/n	ဗမာ့အခြေအနေ
အခွန်အခ/n|ပေး/v|ရေး/part|သပိတ်/n	အခွန်အခပေးရေးသပိတ်
ဝါဒ/n|ဖြန့်ချိ/v|မှု/part	ဝါဒဖြန့်ချိမှု
လူထု/n|ဆန္ဒပြပွဲ/n	လူထုဆန္ဒပြပွဲ
အာဏာ/n|ဖီဆန်/v|ရေး/part|တိုက်ပွဲ/n	အာဏာဖီဆန်ရေးတိုက်ပွဲ
စီးပွား/n|ရေး/part	စီးပွားရေး
ဗြိတိသျှ/n|ကုန်ပစ္စည်း/n	ဗြိတိသျှကုန်ပစ္စည်း
အခွန်/n|မ/part|ပေး/v|ရေး/part|တိုက်ပွဲ/n	အခွန်မပေးရေးတိုက်ပွဲ
စစ်ဖက်/n|အုပ်ချုပ်/v|ရေး/part	စစ်ဖက်အုပ်ချုပ်ရေး
ဆက်သွယ်/v|ရေး/part|လမ်းကြောင်း/n	ဆက်သွယ်ရေးလမ်းကြောင်း
ဗမာ/n|ပြည်/n	ဗမာပြည်
ဗြိတိသျှ/n|အုပ်ချုပ်/v|မှု/part|စနစ်/n	ဗြိတိသျှအုပ်ချုပ်မှုစနစ်
ဖြစ်ပေါ်/v|တိုးတက်/v|မှု/part	ဖြစ်ပေါ်တိုးတက်မှု
ဘာသာဗေဒ/n|ပညာရှင်/n	ဘာသာဗေဒပညာရှင်
ကျွမ်းကျင်/v|မှု/part	ကျွမ်းကျင်မှု
စစ်/n|ဘက်/n	စစ်ဘက်
နှမြော/v|စရာ/part	နှမြောစရာ
တရား/n|ဥပဒေ/n	တရားဥပဒေ
လမ်းညွှန်/v|ချက်/part	လမ်းညွှန်ချက်
အစ္စလာမ်/n|ဘာသာ/n	အစ္စလာမ်ဘာသာ
တော်ဝင်ကုမုဒြာ/n|ဟော်တယ်/n	တော်ဝင်ကုမုဒြာဟော်တယ်
နေပြည်တော်/n|ဟိုတယ်/n|ဇုန်/n	နေပြည်တော်ဟိုတယ်ဇုန်
ဆွစ်ဇာလန်/n|နိုင်ငံ/n	ဆွစ်ဇာလန်နိုင်ငံ
ဂရိ/n|နိုင်ငံ/n	ဂရိနိုင်ငံ
လည်တံ/n|ကြီး/part	လည်တံကြီး
သံလိုက်/n|စက်ကွင်း/n	သံလိုက်စက်ကွင်း
တိုင်းမ်/n|မဂ္ဂဇင်း/n	တိုင်းမ်မဂ္ဂဇင်း
ဝရုဏ/n|ရဟန္တာ/n	ဝရုဏရဟန္တာ
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
အခွင့်အရေး/n|ဆိုင်ရာ/n	အခွင့်အရေးဆိုင်ရာ
လူ့/n|အခွင့်အရေး/n	လူ့အခွင့်အရေး
အသက်ရှင်/v|နေထိုင်/v|ခွင့်/n	အသက်ရှင်နေထိုင်ခွင့်
ထုတ်ဖော်/v|ပြောဆို/v|ခွင့်/n	ထုတ်ဖော်ပြောဆိုခွင့်
ဖြစ်/v|ခွင့်/n	ဖြစ်ခွင့်
စီးပွား/n|ရေး/part	စီးပွားရေး
လူမှု/n|ရေး/part	လူမှုရေး
ယဉ်ကျေး/adj|မှု/part|ဆိုင်ရာ/n	ယဉ်ကျေးမှုဆိုင်ရာ
ယဉ်ကျေး/adj|မှု/part	ယဉ်ကျေးမှု
ပါဝင်/v|ခွင့်/n	ပါဝင်ခွင့်
ရရှိ/v|ခွင့်/n	ရရှိခွင့်
လုပ်ကိုင်/v|ခွင့်/n	လုပ်ကိုင်ခွင့်
ပညာသင်ကြား/v|ခွင့်/n	ပညာသင်ကြားခွင့်
ကမ္ဘာ/n|ကြီး/part	ကမ္ဘာကြီး
ညနေ/n|ပိုင်း/part	ညနေပိုင်း
စစ်/n|အစိုးရ/n	စစ်အစိုးရ
သေဆုံး/v|မှု/part	သေဆုံးမှု
ဂျာမန်/n|စွယ်စုံကျမ်း/n	ဂျာမန်စွယ်စုံကျမ်း
ပြည်/n|မြို့/n	ပြည်မြို့
အထက်တန်း/n|ကျောင်း/n	အထက်တန်းကျောင်း
ရန်ကုန်/n|တက္ကသိုလ်/n	ရန်ကုန်တက္ကသိုလ်
ဥပစာသိပ္ပံ/n|ခ/n	ဥပစာသိပ္ပံခ
နိုင်ငံ/n|ရေး/part|ပါတီ/n	နိုင်ငံရေးပါတီ
ပျော်ရွှင်/v|ဖွယ်/part|ရာ/part	ပျော်ရွှင်ဖွယ်ရာ
သဘာဝတ္ထဗေဒ/n|ပညာရှင်/n	သဘာဝတ္ထဗေဒပညာရှင်
ဒဿနိကဗေဒ/n|ပညာရှင်/n	ဒဿနိကဗေဒပညာရှင်
မေ/n|လ/n	မေလ
မဒိုင်/n|နတ်/n	မဒိုင်နတ်
ကုန်းလိပ်/n|ကြီး/part	ကုန်းလိပ်ကြီး
ပစိဖိတ်/n|သမုဒ္ဒရာ/n	ပစိဖိတ်သမုဒ္ဒရာ
တောင်/n|ပိုင်း/part	တောင်ပိုင်း
တောင်အမေရိက/n|တိုက်/n	တောင်အမေရိကတိုက်
အနောက်/n|ဘက်/n	အနောက်ဘက်
ဂလားပါးဂိုး/n|ကျွန်းစု/n	ဂလားပါးဂိုးကျွန်းစု
တံငါ/n|အိမ်ခြေ/n	တံငါအိမ်ခြေ
မြင်းချည်တိုင်/n|ရွာ/n	မြင်းချည်တိုင်ရွာ
တိုင်း/n|မြို့တော်/n	တိုင်းမြို့တော်
မာရိတ်/n|မြို့/n	မာရိတ်မြို့
တိုင်း/n|မြို့တော်/n	တိုင်းမြို့တော်
မွေးမြူ/v|သူ/n	မွေးမြူသူ
ပသီ/n|ကုလား/n|မင်း/n	ပသီကုလားမင်း
ပသီ/n|မြို့/n	ပသီမြို့
အယုဒ္ဓယ/n|မြို့/n	အယုဒ္ဓယမြို့
ဗန်ကောက်/n|မြို့/n	ဗန်ကောက်မြို့
ဗိုလ်ချုပ်/n|အောင်ဆန်း/n	ဗိုလ်ချုပ်အောင်ဆန်း
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
ဆက်ဆံ/v|ရေး/part	ဆက်ဆံရေး
ကောင်းမွန်/adj|မှု/part	ကောင်းမွန်မှု
ကန့်ကွက်/v|ချက်/part	ကန့်ကွက်ချက်
အမျိုးသား/n|လွှတ်တော်/n	အမျိုးသားလွှတ်တော်
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
ဒလ/n|မြို့စား/n|မင်း/n|ကျော်သီဟ/n	ဒလမြို့စားမင်းကျော်သီဟ
စစ်ကဲ/n|ဦးထော်လေး/n	စစ်ကဲဦးထော်လေး
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
ဂျပန်/n|ယဉ်ကျေး/adj|မှု/part	ဂျပန်ယဉ်ကျေးမှု
မြို့တော်/n|ပြတိုက်/n	မြို့တော်ပြတိုက်
ဝါဆို/n|လ/n	ဝါဆိုလ
အင်္ဂလန်/n|နိုင်ငံ/n	အင်္ဂလန်နိုင်ငံ
ကလေး/n|စွယ်စုံကျမ်း/n	ကလေးစွယ်စုံကျမ်း
ပြောင်းလဲ/v|ခြင်း/part	ပြောင်းလဲခြင်း
အံဩ/v|ဖွယ်/part	အံဩဖွယ်
တူညီ/v|မှု/part	တူညီမှု
ကွဲပြား/v|ခြားနား/v|မှု/part	ကွဲပြားခြားနားမှု
ခေါ်တွင်/v|ရာ/part	ခေါ်တွင်ရာ
ကြည့်/v|ခြင်း/part	ကြည့်ခြင်း
ခြားနား/v|ချက်/part	ခြားနားချက်
ငွေသား/n|ဒေါ်လာ/n	ငွေသားဒေါ်လာ
နွေ/n|ဥတု/n	နွေဥတု
မတ်/n|လ/n	မတ်လ
ဧပြီ/n|လ/n	ဧပြီလ
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အလယ်/n|ပိုင်း/part|ဒေသ/n	အလယ်ပိုင်းဒေသ
ဒီဂရီ/n|ဖာရင်ဟိုက်/n	ဒီဂရီဖာရင်ဟိုက်
ဒီဂရီ/n|စင်တီဂရိတ်/n	ဒီဂရီစင်တီဂရိတ်
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
ဒီဂရီ/n|ဖာရင်ဟိုက်/n	ဒီဂရီဖာရင်ဟိုက်
ဒီဂရီ/n|စင်တီဂရိတ်/n	ဒီဂရီစင်တီဂရိတ်
ရှမ်း/n|ကုန်းပြင်မြင့်/n	ရှမ်းကုန်းပြင်မြင့်
ဒီဂရီ/n|ဖာရင်ဟိုက်/n	ဒီဂရီဖာရင်ဟိုက်
တန်ဆောင်မုန်း/n|လ/n	တန်ဆောင်မုန်းလ
အာရပ်/n|မြင်း/n	အာရပ်မြင်း
ပညာရှိ/v|သော/part|သူ/n	ပညာရှိသောသူ
နစ်တည်/v|ခြင်း/part	နစ်တည်ခြင်း
ဇူလိုင်/n|လ/n	ဇူလိုင်လ
ဗိုလ်/n|မိုးကြိုး/n	ဗိုလ်မိုးကြိုး
မြန်မာ/n|ပြည်/n	မြန်မာပြည်
ဥရောပ/n|နိုင်ငံသား/n	ဥရောပနိုင်ငံသား
ဗြိတိသျှ/n|အိန္ဒိယ/n	ဗြိတိသျှအိန္ဒိယ
တိုင်းပြည်/n|ကြီး/part	တိုင်းပြည်ကြီး
ဘတ်စ်ကား/n|ရပ်နားကွင်း/n	ဘတ်စ်ကားရပ်နားကွင်း
အငှားယာဉ်/n|ကုမ္ပဏီ/n	အငှားယာဉ်ကုမ္ပဏီ
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
ဂျပန်/n|တပ်/n	ဂျပန်တပ်
ဗိုလ်/n|မိုးကြိုး/n	ဗိုလ်မိုးကြိုး
ဗဟို/n|အစိုးရ/n	ဗဟိုအစိုးရ
သခင်/n|ထွန်းအုပ်/n	သခင်ထွန်းအုပ်
ကမ္ဘာ/n|စစ်/n	ကမ္ဘာစစ်
သိပ္ပံ/n|ပညာ/n	သိပ္ပံပညာ
အက်တမ်/n|ခန္ဓာအိမ်/n	အက်တမ်ခန္ဓာအိမ်
လျှပ်စစ်/n|အဖို/n|ဓာတ်/n	လျှပ်စစ်အဖိုဓာတ်
လျှပ်စစ်/n|အဖို/n|ဓာတ်/n	လျှပ်စစ်အဖိုဓာတ်
လျှပ်စစ်/n|အမ/n|ဓာတ်/n	လျှပ်စစ်အမဓာတ်
တရုတ်/n|လူမျိုး/n	တရုတ်လူမျိုး
စီးပွား/n|ရေး/part	စီးပွားရေး
နိုင်ငံ/n|ရေး/part	နိုင်ငံရေး
စကော့ချ်/n|အရက်/n	စကော့ချ်အရက်
အမျိုးသား/n|ရေး/part|တိုက်ပွဲ/n	အမျိုးသားရေးတိုက်ပွဲ
ပါလီမန်/n|ဒီမိုကရေစီ/n|အစိုးရ/n	ပါလီမန်ဒီမိုကရေစီအစိုးရ
ဝန်ကြီးချုပ်/n|ဦးနု/n	ဝန်ကြီးချုပ်ဦးနု
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အင်္ဂလိပ်/n|သတ်ပုံ/n|ရေးထုံး/n	အင်္ဂလိပ်သတ်ပုံရေးထုံး
ဗျည်း/n|သံရှည်/n	ဗျည်းသံရှည်
ညွှန်း/v|ခြင်း/part	ညွှန်းခြင်း
ပညာ/n|ရေး/part	ပညာရေး
စား/v|ဝတ်/v|နေ/v|ရေး/part	စားဝတ်နေရေး
တိုးတက်/v|ရေး/part	တိုးတက်ရေး
မန္တလေး/n|တက္ကသိုလ်/n	မန္တလေးတက္ကသိုလ်
စိုက်ပျိုး/v|ရေး/part|မဟာ/adj|ဌာန/n	စိုက်ပျိုးရေးမဟာဌာန
ဆေး/n|အတတ်သင်/n|မဟာ/adj|ဌာန/n	ဆေးအတတ်သင်မဟာဌာန
ဝိဇ္ဇာ/n|မဟာ/adj|ဌာန/n	ဝိဇ္ဇာမဟာဌာန
သိပ္ပံ/n|မဟာ/adj|ဌာန/n	သိပ္ပံမဟာဌာန
မဟာ/adj|ဌာန/n	မဟာဌာန
လယ်ယာ/n|လုပ်သား/n|အသင်း/n	လယ်ယာလုပ်သားအသင်း
အသင်း/n|ဝင်/v	အသင်းဝင်
ပြောင်းလဲ/v|ပေး/part|ခြင်း/part	ပြောင်းလဲပေးခြင်း
အလာစကာ/n|ကျွန်းဆွယ်/n	အလာစကာကျွန်းဆွယ်
လွတ်လပ်/v|ရေး/part	လွတ်လပ်ရေး
ဆက်ဆံ/v|ရေး/part	ဆက်ဆံရေး
မြင်း/n|ထီး/n	မြင်းထီး
ခွေး/n|စွယ်/n	ခွေးစွယ်
ယူဆ/v|နိုင်/part|စရာ/part	ယူဆနိုင်စရာ
နတ်တော်/n|လ/n	နတ်တော်လ
ဝန်ဆောင်/v|မှု/part	ဝန်ဆောင်မှု
သတင်း/n|အချက်အလက်/n	သတင်းအချက်အလက်
အောင်မြင်/v|မှု/part	အောင်မြင်မှု
အီဖယ်လ်/n|မျှော်စင်/n	အီဖယ်လ်မျှော်စင်
လိုဗာ/n|ပြတိုက်/n	လိုဗာပြတိုက်
လူးဗာ/n|ပြတိုက်/n	လူးဗာပြတိုက်
ဝန်ကြီးချုပ်/n|အင်ဒရီယာဂန္ဒီ/n	ဝန်ကြီးချုပ်အင်ဒရီယာဂန္ဒီ
ဂျနာတာ/n|ပါတီ/n	ဂျနာတာပါတီ
ရရှိ/v|ခဲ့/part|ခြင်း/part	ရရှိခဲ့ခြင်း
ရန်ကုန်/n|မြို့/n	ရန်ကုန်မြို့
ကျားသစ်/n|မျိုး/n	ကျားသစ်မျိုး
ပလူတို/n|ဂြိုဟ်/n	ပလူတိုဂြိုဟ်
ဩဂုတ်/n|လ/n	ဩဂုတ်လ
မ/part|သတ်မှတ်/v|သင့်/part|တော့/part|ကြောင်း/part	မသတ်မှတ်သင့်တော့ကြောင်း
ထုတ်လုပ်/v|မှု/part	ထုတ်လုပ်မှု
အောင်မြင်/v|မှု/part	အောင်မြင်မှု
အာရပ်/n|ဘာသာ/n	အာရပ်ဘာသာ
ဒဂုန်/n|မဂ္ဂဇင်း/n	ဒဂုန်မဂ္ဂဇင်း
လန်ဒန်အတ်/n|မဂ္ဂဇင်း/n	လန်ဒန်အတ်မဂ္ဂဇင်း
ကဝိမျက်မှန်/n|မဂ္ဂဇင်း/n	ကဝိမျက်မှန်မဂ္ဂဇင်း
ကဝိတံခွန်/n|မဂ္ဂဇင်း/n	ကဝိတံခွန်မဂ္ဂဇင်း
ဗြိတိသျှဘားမား/n|မဂ္ဂဇင်း/n	ဗြိတိသျှဘားမားမဂ္ဂဇင်း
တက္ကသိုလ်/n|မဂ္ဂဇင်း/n	တက္ကသိုလ်မဂ္ဂဇင်း
သူရိယ/n|မဂ္ဂဇင်း/n	သူရိယမဂ္ဂဇင်း
သူရိယ/n|သတင်းစာ/n	သူရိယသတင်းစာ
မြန်မာ့အလင်း/n|သတင်းစာ/n	မြန်မာ့အလင်းသတင်းစာ
သစ္စာဝါဒီ/n|သတင်းစာ/n	သစ္စာဝါဒီသတင်းစာ
ဗန္ဓုလ/n|သတင်းစာ/n	ဗန္ဓုလသတင်းစာ
ဗန္ဓုလ/n|ဂျာနယ်/n	ဗန္ဓုလဂျာနယ်
ဒီးဒုတ်/n|ဂျာနယ်/n	ဒီးဒုတ်ဂျာနယ်
အင်္ဂလိပ်/n|ဘာသာ/n	အင်္ဂလိပ်ဘာသာ
ဂျပန်/n|ဘာသာ/n	ဂျပန်ဘာသာ
အပျော်/n|ခရီးစဉ်/n	အပျော်ခရီးစဉ်
ဂျပန်/n|သံရုံး/n	ဂျပန်သံရုံး
ဘရွန်းစ်/n|တိရစ္ဆာန်ရုံ/n	ဘရွန်းစ်တိရစ္ဆာန်ရုံ
ဖြစ်/v|သူ/n	ဖြစ်သူ
အမေရိကန်/n|နိုင်ငံ/n	အမေရိကန်နိုင်ငံ
အဖွဲ့/n|ခေါင်းဆောင်/n	အဖွဲ့ခေါင်းဆောင်
ရည်ရွယ်/v|ချက်/part	ရည်ရွယ်ချက်
တရုတ်/n|နိုင်ငံ/n	တရုတ်နိုင်ငံ
အရှေ့/n|အိန္ဒိယ/n|ကျွန်းစု/n	အရှေ့အိန္ဒိယကျွန်းစု
အင်ဒိုနီးရှား/n|နိုင်ငံ/n	အင်ဒိုနီးရှားနိုင်ငံ
မြန်မာ/n|ပြည်/n	မြန်မာပြည်
လာရောက်/v|ခြင်း/part	လာရောက်ခြင်း
ဗမာ့/n|ကျမ်းဂန်/n	ဗမာ့ကျမ်းဂန်
ဒေါသကြီး/v|တတ်/part|ခြင်း/part	ဒေါသကြီးတတ်ခြင်း
ဆန်ဆယ်လဗာဒေါ/n|မြို့/n	ဆန်ဆယ်လဗာဒေါမြို့
တက္ကသိုလ်/n|ကျောင်း/n	တက္ကသိုလ်ကျောင်း
မတ်/n|လ/n	မတ်လ
စိန်လုံကဘာ/n|ကျေးရွာ/n	စိန်လုံကဘာကျေးရွာ
ကချင်/n|တောင်တန်း/n|ဒေသ/n	ကချင်တောင်တန်းဒေသ
ဂျပန်/n|စစ်တပ်သား/n	ဂျပန်စစ်တပ်သား
သောက်/v|စရာ/part	သောက်စရာ
ရှုမြင်/v|ချက်/part	ရှုမြင်ချက်
အမေရိကန်/n|ပုံနှိပ်တိုက်/n	အမေရိကန်ပုံနှိပ်တိုက်
အစ/n|ကနဦး/n	အစကနဦး
နက္ခတ္တဗေဒ/n|ပညာရှင်/n	နက္ခတ္တဗေဒပညာရှင်
သိပ္ပံ/n|ပညာရှင်/n	သိပ္ပံပညာရှင်
ဒါရိုက်တာ/n|လွင်မင်း/n	ဒါရိုက်တာလွင်မင်း
မြစ်ကြီးနား/n|မြို့/n	မြစ်ကြီးနားမြို့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
မြောက်/n|ပိုင်း/part	မြောက်ပိုင်း
မော်လမြိုင်/n|မြို့/n	မော်လမြိုင်မြို့
မြန်မာ/n|နိုင်ငံ/n	မြန်မာနိုင်ငံ
အရှေ့တောင်/n|ပိုင်း/part	အရှေ့တောင်ပိုင်း
မော်လမြိုင်/n|တက္ကသိုလ်/n	မော်လမြိုင်တက္ကသိုလ်
သိပ္ပံ/n|ဆိုင်ရာ/n|ဘွဲ့/n	သိပ္ပံဆိုင်ရာဘွဲ့
အနောက်တိုင်း/n|ဒဿနိကဗေဒ/n	အနောက်တိုင်းဒဿနိကဗေဒ
လူ့/n|ကိုယ်နံ့/n	လူ့ကိုယ်နံ့
လူ့/n|အဆက်အနွယ်/n	လူ့အဆက်အနွယ်
အမျိုးသား/n|ဒီမိုကရေစီ/n|အဖွဲ့ချုပ်/n	အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်
စက္ကူ/n|လိပ်/n	စက္ကူလိပ်
အားနည်း/adj|ချက်/part	အားနည်းချက်
လူနေမှု/n|အဆင့်အတန်း/n	လူနေမှုအဆင့်အတန်း
မ/part|ဖေါ်ညွှန်း/v|နိုင်/part|ခြင်း/part	မဖေါ်ညွှန်းနိုင်ခြင်း
ကာလကတ္တား/n|မြို့/n	ကာလကတ္တားမြို့
တက်ကျွမ်း/v|သူ/n	တက်ကျွမ်းသူ
အာရေဗျ/n|သဲကန္တာရ/n	အာရေဗျသဲကန္တာရ
ဆာလဖျူရစ်/n|အက်ဆစ်/n	ဆာလဖျူရစ်အက်ဆစ်
အသွင်/n|သဏ္ဌာန်/n	အသွင်သဏ္ဌာန်
သောကြာ/n|ဂြိုဟ်/n	သောကြာဂြိုဟ်
ပြောင်းလဲ/v|ခြင်း/part	ပြောင်းလဲခြင်း
ဓာတ်ငွေ့/n|တိမ်တိုက်/n	ဓာတ်ငွေ့တိမ်တိုက်
ဆောင်ရွက်/v|ချက်/part	ဆောင်ရွက်ချက်
တုံ့ပြန်/v|မှု/part	တုံ့ပြန်မှု
လမ်းညွှန်/v|မှု/part	လမ်းညွှန်မှု
မွတ်စလင်/n|ဘာသာ/n	မွတ်စလင်ဘာသာ
ခေါ်/v|ရ/part|ခြင်း/part	ခေါ်ရခြင်း
ရဟန်း/n|သံဃာ/n	ရဟန်းသံဃာ
ဖြစ်/v|ခြင်း/part	ဖြစ်ခြင်း
သီရာပါဒပ်စ်/n|မျိုးစိတ်/n	သီရာပါဒပ်စ်မျိုးစိတ်
ကြောင်/n|မျိုးရင်း/n|ဝင်/v	ကြောင်မျိုးရင်းဝင်
စတင်/v|တည်ထောင်/v|သူ/n	စတင်တည်ထောင်သူ
ကယ်လီဖိုးနီးယား/n|ပြည်နယ်/n	ကယ်လီဖိုးနီးယားပြည်နယ်
စတန်းဖို့ဒ်/n|တက္ကသိုလ်/n	စတန်းဖို့ဒ်တက္ကသိုလ်
ပါရဂူ/n|ဘွဲ့/n	ပါရဂူဘွဲ့
ရှာဖွေ/v|ရေး/part|စီမံကိန်း/n	ရှာဖွေရေးစီမံကိန်း
ဇန်နဝါရီ/n|လ/n	ဇန်နဝါရီလ
စတင်/v|ခဲ့/part|ခြင်း/part	စတင်ခဲ့ခြင်း
အဖွဲ့/n|ဝင်/v	အဖွဲ့ဝင်
ယုံကြည်/v|သူ/n	ယုံကြည်သူ
ဖိတ်ခေါ်/v|ကမ်းလှမ်း/v|ချက်/part	ဖိတ်ခေါ်ကမ်းလှမ်းချက်
ပြောက်ကျား/n|သူပုန်/n	ပြောက်ကျားသူပုန်
ရှိ/v|ပြီ/ppm|ဖြစ်/v|ကြောင်း/part	ရှိပြီဖြစ်ကြောင်း
လွတ်ငြိမ်း/v|ချမ်းသာ/v|ခွင့်/n	လွတ်ငြိမ်းချမ်းသာခွင့်
ဧပြီ/n|လ/n	ဧပြီလ
မဟာသရေစည်သူ/n|ဦးသန့်/n	မဟာသရေစည်သူဦးသန့်
